Tiempo consumido: 96.795, para cantidad: 500
Tiempo consumido: 97.521, para cantidad: 500
Tiempo consumido: 96.717, para cantidad: 500
Tiempo consumido: 96.602, para cantidad: 500
Tiempo consumido: 97.673, para cantidad: 500
Tiempo consumido: 96.946, para cantidad: 500
Tiempo consumido: 98.809, para cantidad: 500
Tiempo consumido: 97.837, para cantidad: 500
Tiempo consumido: 95.914, para cantidad: 500
Tiempo consumido: 95.291, para cantidad: 500
Tiempo consumido: 757.308, para cantidad: 1000
Tiempo consumido: 756.178, para cantidad: 1000
Tiempo consumido: 756.111, para cantidad: 1000
Tiempo consumido: 755.882, para cantidad: 1000
Tiempo consumido: 753.875, para cantidad: 1000
Tiempo consumido: 756.493, para cantidad: 1000
Tiempo consumido: 755.768, para cantidad: 1000
Tiempo consumido: 755.120, para cantidad: 1000
Tiempo consumido: 754.046, para cantidad: 1000
Tiempo consumido: 755.278, para cantidad: 1000
Tiempo consumido: 2550.284, para cantidad: 1500
Tiempo consumido: 2581.426, para cantidad: 1500
Tiempo consumido: 2589.369, para cantidad: 1500
Tiempo consumido: 2586.836, para cantidad: 1500
Tiempo consumido: 2580.990, para cantidad: 1500
Tiempo consumido: 2594.215, para cantidad: 1500
Tiempo consumido: 2598.008, para cantidad: 1500
Tiempo consumido: 2598.660, para cantidad: 1500
Tiempo consumido: 2595.208, para cantidad: 1500
Tiempo consumido: 2708.215, para cantidad: 1500
Tiempo consumido: 6295.676, para cantidad: 2000
Tiempo consumido: 6365.476, para cantidad: 2000
Tiempo consumido: 6579.929, para cantidad: 2000
Tiempo consumido: 6436.789, para cantidad: 2000
Tiempo consumido: 6408.568, para cantidad: 2000
Tiempo consumido: 6239.144, para cantidad: 2000
Tiempo consumido: 6440.910, para cantidad: 2000
Tiempo consumido: 6486.210, para cantidad: 2000
Tiempo consumido: 6258.686, para cantidad: 2000
Tiempo consumido: 6256.203, para cantidad: 2000
Tiempo consumido: 37848.750, para cantidad: 3500
Tiempo consumido: 38002.853, para cantidad: 3500
Tiempo consumido: 38012.616, para cantidad: 3500
Tiempo consumido: 38090.340, para cantidad: 3500
Tiempo consumido: 38200.019, para cantidad: 3500
Tiempo consumido: 37991.309, para cantidad: 3500
Tiempo consumido: 37941.905, para cantidad: 3500
Tiempo consumido: 38205.071, para cantidad: 3500
Tiempo consumido: 38073.898, para cantidad: 3500
Tiempo consumido: 38099.364, para cantidad: 3500
Tiempo consumido: 111836.495, para cantidad: 5000
Tiempo consumido: 111520.888, para cantidad: 5000
Tiempo consumido: 111835.583, para cantidad: 5000
Tiempo consumido: 111467.677, para cantidad: 5000
Tiempo consumido: 112331.081, para cantidad: 5000
Tiempo consumido: 111416.225, para cantidad: 5000
Tiempo consumido: 111551.287, para cantidad: 5000
Tiempo consumido: 112931.320, para cantidad: 5000
Tiempo consumido: 112199.155, para cantidad: 5000
Tiempo consumido: 112871.514, para cantidad: 5000
