Tiempo consumido: 53.224, para cantidad: 500
Tiempo consumido: 53.581, para cantidad: 500
Tiempo consumido: 55.067, para cantidad: 500
Tiempo consumido: 54.592, para cantidad: 500
Tiempo consumido: 54.896, para cantidad: 500
Tiempo consumido: 55.278, para cantidad: 500
Tiempo consumido: 55.158, para cantidad: 500
Tiempo consumido: 53.977, para cantidad: 500
Tiempo consumido: 54.966, para cantidad: 500
Tiempo consumido: 54.919, para cantidad: 500
Tiempo consumido: 442.698, para cantidad: 1000
Tiempo consumido: 437.829, para cantidad: 1000
Tiempo consumido: 430.984, para cantidad: 1000
Tiempo consumido: 445.631, para cantidad: 1000
Tiempo consumido: 447.223, para cantidad: 1000
Tiempo consumido: 448.878, para cantidad: 1000
Tiempo consumido: 436.561, para cantidad: 1000
Tiempo consumido: 465.280, para cantidad: 1000
Tiempo consumido: 460.883, para cantidad: 1000
Tiempo consumido: 447.458, para cantidad: 1000
Tiempo consumido: 1468.200, para cantidad: 1500
Tiempo consumido: 1479.313, para cantidad: 1500
Tiempo consumido: 1463.497, para cantidad: 1500
Tiempo consumido: 1464.984, para cantidad: 1500
Tiempo consumido: 1479.605, para cantidad: 1500
Tiempo consumido: 1549.792, para cantidad: 1500
Tiempo consumido: 1499.752, para cantidad: 1500
Tiempo consumido: 1475.308, para cantidad: 1500
Tiempo consumido: 1522.296, para cantidad: 1500
Tiempo consumido: 1482.797, para cantidad: 1500
Tiempo consumido: 3566.771, para cantidad: 2000
Tiempo consumido: 3672.420, para cantidad: 2000
Tiempo consumido: 3588.126, para cantidad: 2000
Tiempo consumido: 3536.328, para cantidad: 2000
Tiempo consumido: 3533.173, para cantidad: 2000
Tiempo consumido: 3539.335, para cantidad: 2000
Tiempo consumido: 3537.826, para cantidad: 2000
Tiempo consumido: 3525.863, para cantidad: 2000
Tiempo consumido: 3556.347, para cantidad: 2000
Tiempo consumido: 3536.310, para cantidad: 2000
Tiempo consumido: 21395.822, para cantidad: 3500
Tiempo consumido: 21596.537, para cantidad: 3500
Tiempo consumido: 21576.118, para cantidad: 3500
Tiempo consumido: 21628.063, para cantidad: 3500
Tiempo consumido: 21604.845, para cantidad: 3500
Tiempo consumido: 21653.305, para cantidad: 3500
Tiempo consumido: 21706.369, para cantidad: 3500
Tiempo consumido: 21785.055, para cantidad: 3500
Tiempo consumido: 21609.056, para cantidad: 3500
Tiempo consumido: 21639.116, para cantidad: 3500
Tiempo consumido: 63267.738, para cantidad: 5000
Tiempo consumido: 63498.142, para cantidad: 5000
Tiempo consumido: 63864.322, para cantidad: 5000
Tiempo consumido: 65574.483, para cantidad: 5000
Tiempo consumido: 63631.862, para cantidad: 5000
Tiempo consumido: 63741.031, para cantidad: 5000
Tiempo consumido: 63671.624, para cantidad: 5000
Tiempo consumido: 63877.378, para cantidad: 5000
Tiempo consumido: 64108.198, para cantidad: 5000
Tiempo consumido: 64166.121, para cantidad: 5000
