Tiempo consumido: 51.343, para cantidad: 500
Tiempo consumido: 50.183, para cantidad: 500
Tiempo consumido: 52.478, para cantidad: 500
Tiempo consumido: 52.265, para cantidad: 500
Tiempo consumido: 51.224, para cantidad: 500
Tiempo consumido: 54.521, para cantidad: 500
Tiempo consumido: 53.501, para cantidad: 500
Tiempo consumido: 53.507, para cantidad: 500
Tiempo consumido: 52.935, para cantidad: 500
Tiempo consumido: 52.809, para cantidad: 500
Tiempo consumido: 418.864, para cantidad: 1000
Tiempo consumido: 416.079, para cantidad: 1000
Tiempo consumido: 418.854, para cantidad: 1000
Tiempo consumido: 408.368, para cantidad: 1000
Tiempo consumido: 421.776, para cantidad: 1000
Tiempo consumido: 412.054, para cantidad: 1000
Tiempo consumido: 420.654, para cantidad: 1000
Tiempo consumido: 442.548, para cantidad: 1000
Tiempo consumido: 434.826, para cantidad: 1000
Tiempo consumido: 421.463, para cantidad: 1000
Tiempo consumido: 1483.630, para cantidad: 1500
Tiempo consumido: 1500.565, para cantidad: 1500
Tiempo consumido: 1489.293, para cantidad: 1500
Tiempo consumido: 1476.363, para cantidad: 1500
Tiempo consumido: 1529.581, para cantidad: 1500
Tiempo consumido: 1488.906, para cantidad: 1500
Tiempo consumido: 1475.990, para cantidad: 1500
Tiempo consumido: 1495.728, para cantidad: 1500
Tiempo consumido: 1474.535, para cantidad: 1500
Tiempo consumido: 1474.456, para cantidad: 1500
Tiempo consumido: 3531.195, para cantidad: 2000
Tiempo consumido: 3524.009, para cantidad: 2000
Tiempo consumido: 3540.948, para cantidad: 2000
Tiempo consumido: 3526.991, para cantidad: 2000
Tiempo consumido: 3562.990, para cantidad: 2000
Tiempo consumido: 3540.790, para cantidad: 2000
Tiempo consumido: 3577.989, para cantidad: 2000
Tiempo consumido: 3567.284, para cantidad: 2000
Tiempo consumido: 3533.929, para cantidad: 2000
Tiempo consumido: 3527.212, para cantidad: 2000
Tiempo consumido: 20710.658, para cantidad: 3500
Tiempo consumido: 20397.530, para cantidad: 3500
Tiempo consumido: 20504.772, para cantidad: 3500
Tiempo consumido: 20495.384, para cantidad: 3500
Tiempo consumido: 20443.407, para cantidad: 3500
Tiempo consumido: 20357.100, para cantidad: 3500
Tiempo consumido: 20330.812, para cantidad: 3500
Tiempo consumido: 20319.627, para cantidad: 3500
Tiempo consumido: 20350.381, para cantidad: 3500
Tiempo consumido: 20473.699, para cantidad: 3500
Tiempo consumido: 65047.080, para cantidad: 5000
Tiempo consumido: 63891.018, para cantidad: 5000
Tiempo consumido: 63093.477, para cantidad: 5000
Tiempo consumido: 64001.834, para cantidad: 5000
Tiempo consumido: 63582.832, para cantidad: 5000
Tiempo consumido: 63696.289, para cantidad: 5000
Tiempo consumido: 63131.949, para cantidad: 5000
Tiempo consumido: 63240.442, para cantidad: 5000
Tiempo consumido: 63513.666, para cantidad: 5000
Tiempo consumido: 63123.481, para cantidad: 5000
