Tiempo consumido: 47.959, para cantidad: 500
Tiempo consumido: 48.502, para cantidad: 500
Tiempo consumido: 48.331, para cantidad: 500
Tiempo consumido: 48.585, para cantidad: 500
Tiempo consumido: 48.725, para cantidad: 500
Tiempo consumido: 48.639, para cantidad: 500
Tiempo consumido: 48.932, para cantidad: 500
Tiempo consumido: 57.195, para cantidad: 500
Tiempo consumido: 48.686, para cantidad: 500
Tiempo consumido: 48.655, para cantidad: 500
Tiempo consumido: 402.839, para cantidad: 1000
Tiempo consumido: 402.996, para cantidad: 1000
Tiempo consumido: 402.298, para cantidad: 1000
Tiempo consumido: 402.634, para cantidad: 1000
Tiempo consumido: 413.938, para cantidad: 1000
Tiempo consumido: 402.279, para cantidad: 1000
Tiempo consumido: 429.349, para cantidad: 1000
Tiempo consumido: 418.836, para cantidad: 1000
Tiempo consumido: 402.198, para cantidad: 1000
Tiempo consumido: 403.703, para cantidad: 1000
Tiempo consumido: 1456.022, para cantidad: 1500
Tiempo consumido: 1477.554, para cantidad: 1500
Tiempo consumido: 1553.665, para cantidad: 1500
Tiempo consumido: 1521.762, para cantidad: 1500
Tiempo consumido: 1485.928, para cantidad: 1500
Tiempo consumido: 1517.995, para cantidad: 1500
Tiempo consumido: 1455.319, para cantidad: 1500
Tiempo consumido: 1450.852, para cantidad: 1500
Tiempo consumido: 1448.377, para cantidad: 1500
Tiempo consumido: 1527.450, para cantidad: 1500
Tiempo consumido: 3594.624, para cantidad: 2000
Tiempo consumido: 3528.541, para cantidad: 2000
Tiempo consumido: 3527.335, para cantidad: 2000
Tiempo consumido: 3519.546, para cantidad: 2000
Tiempo consumido: 3484.591, para cantidad: 2000
Tiempo consumido: 3540.846, para cantidad: 2000
Tiempo consumido: 3505.839, para cantidad: 2000
Tiempo consumido: 3507.710, para cantidad: 2000
Tiempo consumido: 3510.493, para cantidad: 2000
Tiempo consumido: 3520.701, para cantidad: 2000
Tiempo consumido: 20145.319, para cantidad: 3500
Tiempo consumido: 20140.634, para cantidad: 3500
Tiempo consumido: 20167.524, para cantidad: 3500
Tiempo consumido: 20012.275, para cantidad: 3500
Tiempo consumido: 19968.224, para cantidad: 3500
Tiempo consumido: 20156.996, para cantidad: 3500
Tiempo consumido: 20141.665, para cantidad: 3500
Tiempo consumido: 20086.346, para cantidad: 3500
Tiempo consumido: 20039.082, para cantidad: 3500
Tiempo consumido: 19972.922, para cantidad: 3500
Tiempo consumido: 60105.676, para cantidad: 5000
Tiempo consumido: 60654.073, para cantidad: 5000
Tiempo consumido: 60793.779, para cantidad: 5000
Tiempo consumido: 59959.438, para cantidad: 5000
Tiempo consumido: 61796.977, para cantidad: 5000
Tiempo consumido: 60403.474, para cantidad: 5000
Tiempo consumido: 60191.827, para cantidad: 5000
Tiempo consumido: 60130.933, para cantidad: 5000
Tiempo consumido: 61333.473, para cantidad: 5000
Tiempo consumido: 60263.563, para cantidad: 5000
