Tiempo consumido: 90.143, para cantidad: 500
Tiempo consumido: 89.162, para cantidad: 500
Tiempo consumido: 89.736, para cantidad: 500
Tiempo consumido: 90.357, para cantidad: 500
Tiempo consumido: 90.784, para cantidad: 500
Tiempo consumido: 87.985, para cantidad: 500
Tiempo consumido: 89.029, para cantidad: 500
Tiempo consumido: 90.748, para cantidad: 500
Tiempo consumido: 90.272, para cantidad: 500
Tiempo consumido: 89.123, para cantidad: 500
Tiempo consumido: 712.649, para cantidad: 1000
Tiempo consumido: 727.292, para cantidad: 1000
Tiempo consumido: 712.093, para cantidad: 1000
Tiempo consumido: 726.164, para cantidad: 1000
Tiempo consumido: 730.709, para cantidad: 1000
Tiempo consumido: 716.024, para cantidad: 1000
Tiempo consumido: 757.508, para cantidad: 1000
Tiempo consumido: 734.210, para cantidad: 1000
Tiempo consumido: 720.425, para cantidad: 1000
Tiempo consumido: 716.801, para cantidad: 1000
Tiempo consumido: 2498.278, para cantidad: 1500
Tiempo consumido: 2575.186, para cantidad: 1500
Tiempo consumido: 2499.972, para cantidad: 1500
Tiempo consumido: 2511.161, para cantidad: 1500
Tiempo consumido: 2499.824, para cantidad: 1500
Tiempo consumido: 2487.934, para cantidad: 1500
Tiempo consumido: 2460.870, para cantidad: 1500
Tiempo consumido: 2472.864, para cantidad: 1500
Tiempo consumido: 2499.130, para cantidad: 1500
Tiempo consumido: 2497.012, para cantidad: 1500
Tiempo consumido: 6344.857, para cantidad: 2000
Tiempo consumido: 6074.538, para cantidad: 2000
Tiempo consumido: 6019.527, para cantidad: 2000
Tiempo consumido: 6019.416, para cantidad: 2000
Tiempo consumido: 6143.490, para cantidad: 2000
Tiempo consumido: 6310.644, para cantidad: 2000
Tiempo consumido: 6130.112, para cantidad: 2000
Tiempo consumido: 6208.912, para cantidad: 2000
Tiempo consumido: 5982.271, para cantidad: 2000
Tiempo consumido: 5990.293, para cantidad: 2000
Tiempo consumido: 36636.009, para cantidad: 3500
Tiempo consumido: 36426.653, para cantidad: 3500
Tiempo consumido: 37164.011, para cantidad: 3500
Tiempo consumido: 37643.187, para cantidad: 3500
Tiempo consumido: 37534.569, para cantidad: 3500
Tiempo consumido: 37657.756, para cantidad: 3500
Tiempo consumido: 37597.345, para cantidad: 3500
Tiempo consumido: 37684.943, para cantidad: 3500
Tiempo consumido: 38057.701, para cantidad: 3500
Tiempo consumido: 37488.082, para cantidad: 3500
Tiempo consumido: 107064.835, para cantidad: 5000
Tiempo consumido: 107676.214, para cantidad: 5000
Tiempo consumido: 108051.984, para cantidad: 5000
Tiempo consumido: 109828.629, para cantidad: 5000
Tiempo consumido: 109636.544, para cantidad: 5000
Tiempo consumido: 107668.434, para cantidad: 5000
Tiempo consumido: 109515.542, para cantidad: 5000
Tiempo consumido: 108170.730, para cantidad: 5000
Tiempo consumido: 109659.139, para cantidad: 5000
Tiempo consumido: 108207.403, para cantidad: 5000
