Tiempo consumido: 48.217, para cantidad: 500
Tiempo consumido: 48.618, para cantidad: 500
Tiempo consumido: 49.751, para cantidad: 500
Tiempo consumido: 48.875, para cantidad: 500
Tiempo consumido: 48.568, para cantidad: 500
Tiempo consumido: 48.929, para cantidad: 500
Tiempo consumido: 48.074, para cantidad: 500
Tiempo consumido: 48.658, para cantidad: 500
Tiempo consumido: 49.250, para cantidad: 500
Tiempo consumido: 48.678, para cantidad: 500
Tiempo consumido: 399.886, para cantidad: 1000
Tiempo consumido: 403.766, para cantidad: 1000
Tiempo consumido: 392.961, para cantidad: 1000
Tiempo consumido: 392.914, para cantidad: 1000
Tiempo consumido: 392.777, para cantidad: 1000
Tiempo consumido: 395.022, para cantidad: 1000
Tiempo consumido: 400.727, para cantidad: 1000
Tiempo consumido: 424.178, para cantidad: 1000
Tiempo consumido: 399.731, para cantidad: 1000
Tiempo consumido: 420.157, para cantidad: 1000
Tiempo consumido: 1376.521, para cantidad: 1500
Tiempo consumido: 1432.279, para cantidad: 1500
Tiempo consumido: 1488.479, para cantidad: 1500
Tiempo consumido: 1608.412, para cantidad: 1500
Tiempo consumido: 1549.671, para cantidad: 1500
Tiempo consumido: 1458.947, para cantidad: 1500
Tiempo consumido: 1426.758, para cantidad: 1500
Tiempo consumido: 1414.787, para cantidad: 1500
Tiempo consumido: 1461.314, para cantidad: 1500
Tiempo consumido: 1547.697, para cantidad: 1500
Tiempo consumido: 3901.567, para cantidad: 2000
Tiempo consumido: 3378.999, para cantidad: 2000
Tiempo consumido: 3354.760, para cantidad: 2000
Tiempo consumido: 3256.923, para cantidad: 2000
Tiempo consumido: 3394.058, para cantidad: 2000
Tiempo consumido: 3308.646, para cantidad: 2000
Tiempo consumido: 3309.503, para cantidad: 2000
Tiempo consumido: 3329.907, para cantidad: 2000
Tiempo consumido: 3322.482, para cantidad: 2000
Tiempo consumido: 3291.576, para cantidad: 2000
Tiempo consumido: 18912.028, para cantidad: 3500
Tiempo consumido: 18932.422, para cantidad: 3500
Tiempo consumido: 18961.376, para cantidad: 3500
Tiempo consumido: 18868.023, para cantidad: 3500
Tiempo consumido: 19023.880, para cantidad: 3500
Tiempo consumido: 19103.727, para cantidad: 3500
Tiempo consumido: 18862.797, para cantidad: 3500
Tiempo consumido: 19286.372, para cantidad: 3500
Tiempo consumido: 19081.757, para cantidad: 3500
Tiempo consumido: 19068.923, para cantidad: 3500
Tiempo consumido: 60627.189, para cantidad: 5000
Tiempo consumido: 63072.227, para cantidad: 5000
Tiempo consumido: 61600.340, para cantidad: 5000
Tiempo consumido: 61241.636, para cantidad: 5000
Tiempo consumido: 62872.020, para cantidad: 5000
Tiempo consumido: 61643.928, para cantidad: 5000
Tiempo consumido: 62877.409, para cantidad: 5000
Tiempo consumido: 61566.543, para cantidad: 5000
Tiempo consumido: 62898.511, para cantidad: 5000
Tiempo consumido: 62836.423, para cantidad: 5000
Tiempo consumido: 11.455, para cantidad: 500
Tiempo consumido: 11.238, para cantidad: 500
Tiempo consumido: 11.703, para cantidad: 500
Tiempo consumido: 11.136, para cantidad: 500
Tiempo consumido: 12.604, para cantidad: 500
Tiempo consumido: 11.306, para cantidad: 500
Tiempo consumido: 12.155, para cantidad: 500
Tiempo consumido: 11.347, para cantidad: 500
Tiempo consumido: 11.620, para cantidad: 500
Tiempo consumido: 11.479, para cantidad: 500
Tiempo consumido: 101.085, para cantidad: 1000
Tiempo consumido: 102.358, para cantidad: 1000
Tiempo consumido: 100.957, para cantidad: 1000
Tiempo consumido: 108.889, para cantidad: 1000
Tiempo consumido: 101.369, para cantidad: 1000
Tiempo consumido: 106.747, para cantidad: 1000
Tiempo consumido: 102.826, para cantidad: 1000
Tiempo consumido: 102.220, para cantidad: 1000
Tiempo consumido: 103.951, para cantidad: 1000
Tiempo consumido: 101.989, para cantidad: 1000
Tiempo consumido: 385.590, para cantidad: 1500
Tiempo consumido: 385.181, para cantidad: 1500
Tiempo consumido: 379.183, para cantidad: 1500
Tiempo consumido: 380.628, para cantidad: 1500
Tiempo consumido: 363.233, para cantidad: 1500
Tiempo consumido: 373.151, para cantidad: 1500
Tiempo consumido: 379.195, para cantidad: 1500
Tiempo consumido: 363.500, para cantidad: 1500
Tiempo consumido: 372.564, para cantidad: 1500
Tiempo consumido: 368.956, para cantidad: 1500
Tiempo consumido: 980.478, para cantidad: 2000
Tiempo consumido: 990.228, para cantidad: 2000
Tiempo consumido: 975.193, para cantidad: 2000
Tiempo consumido: 990.719, para cantidad: 2000
Tiempo consumido: 991.647, para cantidad: 2000
Tiempo consumido: 1033.953, para cantidad: 2000
Tiempo consumido: 1007.809, para cantidad: 2000
Tiempo consumido: 989.011, para cantidad: 2000
Tiempo consumido: 998.656, para cantidad: 2000
Tiempo consumido: 1038.243, para cantidad: 2000
Tiempo consumido: 11735.311, para cantidad: 3500
Tiempo consumido: 11713.008, para cantidad: 3500
Tiempo consumido: 11669.754, para cantidad: 3500
Tiempo consumido: 11548.983, para cantidad: 3500
Tiempo consumido: 11480.263, para cantidad: 3500
Tiempo consumido: 11554.496, para cantidad: 3500
Tiempo consumido: 11527.000, para cantidad: 3500
Tiempo consumido: 12040.558, para cantidad: 3500
Tiempo consumido: 11611.841, para cantidad: 3500
Tiempo consumido: 11638.733, para cantidad: 3500
Tiempo consumido: 39173.027, para cantidad: 5000
Tiempo consumido: 38067.329, para cantidad: 5000
Tiempo consumido: 38038.457, para cantidad: 5000
Tiempo consumido: 39399.512, para cantidad: 5000
Tiempo consumido: 38147.583, para cantidad: 5000
Tiempo consumido: 38641.478, para cantidad: 5000
Tiempo consumido: 39176.160, para cantidad: 5000
Tiempo consumido: 38646.989, para cantidad: 5000
Tiempo consumido: 39498.274, para cantidad: 5000
Tiempo consumido: 39048.002, para cantidad: 5000
