Tiempo consumido: 921.567, para cantidad: 500
Tiempo consumido: 886.873, para cantidad: 500
Tiempo consumido: 895.555, para cantidad: 500
Tiempo consumido: 1072.040, para cantidad: 500
Tiempo consumido: 1082.079, para cantidad: 500
Tiempo consumido: 879.634, para cantidad: 500
Tiempo consumido: 903.916, para cantidad: 500
Tiempo consumido: 868.878, para cantidad: 500
Tiempo consumido: 893.637, para cantidad: 500
Tiempo consumido: 909.403, para cantidad: 500
Tiempo consumido: 7687.909, para cantidad: 1000
Tiempo consumido: 7701.139, para cantidad: 1000
Tiempo consumido: 7722.561, para cantidad: 1000
Tiempo consumido: 7671.349, para cantidad: 1000
Tiempo consumido: 7709.862, para cantidad: 1000
Tiempo consumido: 7739.888, para cantidad: 1000
Tiempo consumido: 7683.027, para cantidad: 1000
Tiempo consumido: 7727.240, para cantidad: 1000
Tiempo consumido: 7684.082, para cantidad: 1000
Tiempo consumido: 7727.896, para cantidad: 1000
Tiempo consumido: 27023.128, para cantidad: 1500
Tiempo consumido: 27371.429, para cantidad: 1500
Tiempo consumido: 30235.174, para cantidad: 1500
Tiempo consumido: 27467.853, para cantidad: 1500
Tiempo consumido: 27192.049, para cantidad: 1500
Tiempo consumido: 27337.751, para cantidad: 1500
Tiempo consumido: 27540.515, para cantidad: 1500
Tiempo consumido: 27414.971, para cantidad: 1500
Tiempo consumido: 27112.735, para cantidad: 1500
Tiempo consumido: 27304.113, para cantidad: 1500
Tiempo consumido: 70650.292, para cantidad: 2000
Tiempo consumido: 70538.574, para cantidad: 2000
Tiempo consumido: 70785.977, para cantidad: 2000
Tiempo consumido: 69794.282, para cantidad: 2000
Tiempo consumido: 69434.802, para cantidad: 2000
Tiempo consumido: 70332.826, para cantidad: 2000
Tiempo consumido: 71363.029, para cantidad: 2000
Tiempo consumido: 71528.164, para cantidad: 2000
Tiempo consumido: 70819.084, para cantidad: 2000
Tiempo consumido: 70151.903, para cantidad: 2000
Tiempo consumido: 933076.304, para cantidad: 3500
Tiempo consumido: 1024227.668, para cantidad: 3500
Tiempo consumido: 1040973.015, para cantidad: 3500
Tiempo consumido: 1021952.972, para cantidad: 3500
Tiempo consumido: 1038488.368, para cantidad: 3500
Tiempo consumido: 1047877.817, para cantidad: 3500
Tiempo consumido: 1038205.600, para cantidad: 3500
Tiempo consumido: 993714.974, para cantidad: 3500
Tiempo consumido: 1089311.992, para cantidad: 3500
Tiempo consumido: 1067806.186, para cantidad: 3500
Tiempo consumido: 4568595.205, para cantidad: 5000
Tiempo consumido: 4555508.636, para cantidad: 5000
Tiempo consumido: 4544440.152, para cantidad: 5000
Tiempo consumido: 4548108.733, para cantidad: 5000
Tiempo consumido: 4542341.759, para cantidad: 5000
Tiempo consumido: 4546068.900, para cantidad: 5000
Tiempo consumido: 4529415.632, para cantidad: 5000
Tiempo consumido: 4545626.248, para cantidad: 5000
Tiempo consumido: 4544062.629, para cantidad: 5000
Tiempo consumido: 4553301.444, para cantidad: 5000
Tiempo consumido: 212.757, para cantidad: 500
Tiempo consumido: 220.689, para cantidad: 500
Tiempo consumido: 220.907, para cantidad: 500
Tiempo consumido: 219.807, para cantidad: 500
Tiempo consumido: 210.833, para cantidad: 500
Tiempo consumido: 211.954, para cantidad: 500
Tiempo consumido: 221.275, para cantidad: 500
Tiempo consumido: 215.556, para cantidad: 500
Tiempo consumido: 229.345, para cantidad: 500
Tiempo consumido: 225.351, para cantidad: 500
